reweighted_sc	rmsBB_if	description	runtype
482.142	2.65	complex.ppk_0021	lr
483.343	4.365	complex.ppk_0050	hr
483.7	4.017	complex.ppk_0005	lr
484.55	2.412	complex.ppk_0044	hr
486.696	1.751	complex.ppk_0021	hr
487.914	2.082	complex.ppk_0083	hr
488.009	3.46	complex.ppk_0090	hr
488.019	2.491	complex.ppk_0048	hr
488.234	1.981	complex.ppk_0057	hr
488.692	3.762	complex.ppk_0053	lr
489.776	1.813	complex.ppk_0095	hr
490.486	2.381	complex.ppk_0063	hr
492.173	2.896	complex.ppk_0065	lr
492.844	2.296	complex.ppk_0077	lr
494.63	1.882	complex.ppk_0081	hr
495.212	1.908	complex.ppk_0061	hr
495.312	2.431	complex.ppk_0023	hr
496.3	2.175	complex.ppk_0059	hr
496.475	1.815	complex.ppk_0069	hr
496.952	2.296	complex.ppk_0068	hr
497.471	2.045	complex.ppk_0096	hr
497.985	3.358	complex.ppk_0064	lr
498.404	1.924	complex.ppk_0056	lr
498.53	3.871	complex.ppk_0075	lr
499.046	2.047	complex.ppk_0100	lr
499.451	3.026	complex.ppk_0032	hr
499.804	4.062	complex.ppk_0003	hr
501.945	2.592	complex.ppk_0008	lr
502.966	1.762	complex.ppk_0042	lr
505.995	2.393	complex.ppk_0009	lr
508.121	2.755	complex.ppk_0088	lr
509.188	2.986	complex.ppk_0054	hr
510.416	2.253	complex.ppk_0062	hr
511.558	2.105	complex.ppk_0013	lr
511.604	1.601	complex.ppk_0076	lr
511.769	1.865	complex.ppk_0024	lr
512.871	2.661	complex.ppk_0041	lr
513.602	3.027	complex.ppk_0099	lr
514.028	2.084	complex.ppk_0067	lr
514.663	2.506	complex.ppk_0031	hr
514.888	2.555	complex.ppk_0070	hr
515.721	2.785	complex.ppk_0084	hr
518.107	3.049	complex.ppk_0080	hr
518.321	2.125	complex.ppk_0094	lr
519.01	2.135	complex.ppk_0012	hr
520.571	4.22	complex.ppk_0040	hr
527.817	2.27	complex.ppk_0035	lr
530.693	1.523	complex.ppk_0089	hr
